,Unnamed: 0,SGDID,Pathway,PathwayID
0,0,S000003636,phosphatidylinositol phosphate biosynthesis,PWY3O-242
1,1,S000002210,diacylglycerol and triacylglycerol biosynthesis,TRIGLSYN-PWY
2,2,S000002210,phosphatidate biosynthesis I (the dihydroxyacetone pathway),PWY3O-6407
3,3,S000002210,phosphatidate biosynthesis II (the glycerol-3-phosphate pathway),PWY3O-6499
4,4,S000002210,superpathway of phosphatidate biosynthesis,PWY3O-6635
5,5,S000004296,phosphatidylinositol phosphate biosynthesis,PWY3O-242
6,6,S000005211,phosphatidylinositol phosphate biosynthesis,PWY3O-242
7,7,S000004230,phosphatidylinositol phosphate biosynthesis,PWY3O-242
8,8,S000001079,L-proline degradation,PROUT-PWY
9,9,S000001079,arginine degradation (aerobic),ARGDEG-YEAST-PWY
10,10,S000005200,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,PWY-6147
11,11,S000005200,folate biosynthesis II,PWY3O-45
12,12,S000005200,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
13,13,S000005200,superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY-1
14,14,S000005200,tetrahydrofolate biosynthesis,PWY-6614
15,15,S000004578,superpathway of ubiquinone biosynthesis,PWY3O-862
16,16,S000004578,ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),PWY3O-19
17,17,S000000453,chorismate biosynthesis,ARO-PWY-1
18,18,S000000453,superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY-1
19,19,S000000453,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
20,20,S000002442,chorismate biosynthesis,ARO-PWY-1
21,21,S000002442,superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY-1
22,22,S000002442,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
23,23,S000003786,L-tryptophan degradation III (eukaryotic),TRYPTOPHAN-DEGRADATION-1
24,24,S000003786,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,PWY-5651
25,25,S000003786,NAD de novo biosynthesis II (from tryptophan),NADSYN-PWY
26,26,S000003786,superpathway of NAD biosynthesis,PWY3O-4158
27,27,S000004090,ergosterol biosynthesis,PWY3O-31704
28,28,S000004090,superpathway of ergosterol biosynthesis I,ERGOSTEROL-SYN-PWY-1
29,29,S000004090,zymosterol biosynthesis,PWY-6074-1
30,30,S000000469,sphingolipid biosynthesis (yeast),SPHINGOLIPID-SYN-PWY-1
31,31,S000000883,L-serine biosynthesis I,SERSYN-PWY
32,32,S000000883,superpathway of serine and glycine biosynthesis,PWY3O-261
33,33,S000001336,L-serine biosynthesis I,SERSYN-PWY
34,34,S000001336,superpathway of serine and glycine biosynthesis,PWY3O-261
35,35,S000005324,superpathway of ubiquinone biosynthesis,PWY3O-862
36,36,S000005324,ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),PWY3O-19
37,37,S000001788,folate interconversions,PWY3O-697
38,38,S000001788,folate transformations I,PWY-2201
39,39,S000001788,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
40,40,S000001788,superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY-1
41,41,S000000357,"riboflavin, FMN and FAD biosynthesis",YEAST-RIBOSYN-PWY
42,42,S000002640,superpathway of heme and siroheme biosynthesis,PWY3O-69
43,43,S000002640,tetrapyrrole biosynthesis,PWY3O-50
44,44,S000003488,pentose phosphate pathway,PENTOSE-P-PWY
45,45,S000003488,pentose phosphate pathway (oxidative branch) I,OXIDATIVEPENT-PWY
46,46,S000003480,pentose phosphate pathway,PENTOSE-P-PWY
47,47,S000003480,pentose phosphate pathway (oxidative branch) I,OXIDATIVEPENT-PWY
48,48,S000001206,pentose phosphate pathway,PENTOSE-P-PWY
49,49,S000001206,pentose phosphate pathway (oxidative branch) I,OXIDATIVEPENT-PWY
50,50,S000006322,methionine salvage pathway,PWY3O-64
51,51,S000006322,superpathway of methionine salvage pathway,PWY3O-351
52,52,S000006179,thiamine biosynthesis,PWY3O-17
53,53,S000001470,glyoxylate cycle,GLYOXYLATE-BYPASS
54,54,S000001470,superpathway of TCA cycle and glyoxylate cycle,PWY3O-94
55,55,S000007270,"aerobic respiration, electron transport chain",PWY3O-188
56,56,S000001471,allantoin degradation to glyoxylate I,PWY-5694
57,57,S000001471,superpathway of allantoin degradation in yeast,ALLANTOINDEG-PWY
58,58,S000000857,L-histidine biosynthesis,HISTSYN-PWY
59,59,S000000857,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
60,60,S000003771,assimilatory sulfate reduction I,SO4ASSIM-PWY
61,61,S000003771,sulfate activation (for sulfonation),PWY-5340
62,62,S000003771,sulfate assimilation pathway,PWY-781
63,63,S000003771,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),PWY-821-1
64,64,S000001484,assimilatory sulfate reduction I,SO4ASSIM-PWY
65,65,S000001484,sulfate activation (for sulfonation),PWY-5340
66,66,S000001484,sulfate assimilation pathway,PWY-781
67,67,S000001484,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),PWY-821-1
68,68,S000004714,L-isoleucine biosynthesis I (from threonine),ILEUSYN-PWY-1
69,69,S000004714,L-valine biosynthesis,VALSYN-PWY
70,70,S000004714,acetoin biosynthesis,PWY3O-335
71,71,S000004714,superpathway of acetoin and butanediol biosynthesis,PWY3O-981
72,72,S000004714,superpathway of branched chain amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY-1
73,73,S000005949,glutaryl-CoA degradation,PWY-5177
74,74,S000005949,mevalonate pathway,IPPSYN-PWY
75,75,S000005949,mevalonate pathway I,PWY-922
76,76,S000005949,superpathway of ergosterol biosynthesis I,ERGOSTEROL-SYN-PWY-1
77,77,S000004820,"fatty acid biosynthesis, initial steps",PWY3O-10
78,78,S000004820,"superpathway of fatty acid biosynthesis, saturated",PWY3O-6336
79,79,S000004820,"superpathway of fatty acid biosynthesis, saturated and unsaturated",PWY3O-5962
80,80,S000004143,acetate utilization,ACETATEUTIL2-PWY
81,81,S000004143,ethanol degradation,PWY3O-4300
82,82,S000005299,"fatty acid biosynthesis, initial steps",PWY3O-10
83,83,S000005299,"superpathway of fatty acid biosynthesis, saturated",PWY3O-6336
84,84,S000005299,"superpathway of fatty acid biosynthesis, saturated and unsaturated",PWY3O-5962
85,85,S000003607,L-arginine biosynthesis II (acetyl cycle),ARGSYNBSUB-PWY
86,86,S000004666,L-arginine biosynthesis II (acetyl cycle),ARGSYNBSUB-PWY
87,87,S000000871,L-arginine biosynthesis II (acetyl cycle),ARGSYNBSUB-PWY
88,88,S000004295,"TCA cycle, aerobic respiration",TCA-EUK-PWY
89,89,S000004295,glyoxylate cycle,GLYOXYLATE-BYPASS
90,90,S000004295,superpathway of TCA cycle and glyoxylate cycle,PWY3O-94
91,91,S000003780,fatty acid elongation,FASYN-ELONG2-PWY
92,92,S000003780,myristate biosynthesis,PWY-5971-1
93,93,S000003780,oleate biosynthesis,PWY3O-5268
94,94,S000003780,palmitoleate biosynthesis,PWY3O-1801
95,95,S000003780,stearate biosynthesis III (fungi),PWY3O-355
96,96,S000003780,"superpathway of fatty acid biosynthesis, saturated",PWY3O-6336
97,97,S000003780,"superpathway of fatty acid biosynthesis, saturated and unsaturated",PWY3O-5962
98,98,S000004484,"salvage pathways of adenine, hypoxanthine and their nucleosides",PWY3O-2220
99,99,S000004484,salvage pathways of purines and their nucleosides,PWY3O-1
100,100,S000004484,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
101,101,S000003866,"salvage pathways of adenine, hypoxanthine and their nucleosides",PWY3O-2220
102,102,S000003866,salvage pathways of purines and their nucleosides,PWY3O-1
103,103,S000003866,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
104,104,S000005412,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY
105,105,S000005412,spermine biosynthesis,ARGSPECAT-PWY
106,106,S000005412,superpathway of methionine salvage pathway,PWY3O-351
107,107,S000005412,superpathway of polyamine biosynthesis,POLYAMSYN-YEAST-PWY
108,108,S000005341,biotin biosynthesis,BIOTIN-SYNTHESIS-PWY
109,109,S000002634,adenosine ribonucleotides de novo biosynthesis,PWY-7219
110,110,S000002634,de novo biosynthesis of purine nucleotides,DENOVOPURINE3-PWY
111,111,S000002634,superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126-1
112,112,S000002634,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
113,113,S000002634,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
114,114,S000002634,superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY
115,115,S000004351,adenosine ribonucleotides de novo biosynthesis,PWY-7219
116,116,S000004351,de novo biosynthesis of purine nucleotides,DENOVOPURINE3-PWY
117,117,S000004351,inosine-5'-phosphate biosynthesis I,PWY-6123-1
118,118,S000004351,superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126-1
119,119,S000004351,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
120,120,S000004351,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
121,121,S000004351,superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY
122,122,S000005164,adenosine ribonucleotides de novo biosynthesis,PWY-7219
123,123,S000005164,de novo biosynthesis of purine nucleotides,DENOVOPURINE3-PWY
124,124,S000005164,superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126-1
125,125,S000005164,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
126,126,S000005164,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
127,127,S000005164,superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY
128,128,S000002327,formaldehyde oxidation II (glutathione-dependent),PWY-1801-1
129,129,S000002327,isoleucine degradation,PWY3O-4109
130,130,S000002327,leucine degradation,PWY3O-4112
131,131,S000002327,phenylalanine degradation,PWY3O-4115
132,132,S000002327,tryptophan degradation,PWY3O-214
133,133,S000002327,valine degradation,PWY3O-4105
134,134,S000005446,L-tyrosine degradation III,PWY3O-4108
135,135,S000005446,isoleucine degradation,PWY3O-4109
136,136,S000005446,leucine degradation,PWY3O-4112
137,137,S000005446,phenylalanine degradation,PWY3O-4115
138,138,S000005446,superpathway of glucose fermentation,GLUCFERMEN-PWY
139,139,S000005446,tryptophan degradation,PWY3O-214
140,140,S000005446,valine degradation,PWY3O-4105
141,141,S000005982,superpathway of glucose fermentation,GLUCFERMEN-PWY
142,142,S000005901,superpathway of glucose fermentation,GLUCFERMEN-PWY
143,143,S000001146,xylose metabolism,PWY3O-8
144,144,S000001468,allantoin degradation to glyoxylate I,PWY-5694
145,145,S000001468,allantoin degradation to ureidoglycolate I (urea producing),PWY-5697
146,146,S000001468,superpathway of allantoin degradation in yeast,ALLANTOINDEG-PWY
147,147,S000001466,allantoin degradation to glyoxylate I,PWY-5694
148,148,S000001466,allantoin degradation to ureidoglycolate I (urea producing),PWY-5697
149,149,S000001466,superpathway of allantoin degradation in yeast,ALLANTOINDEG-PWY
150,150,S000001926,assimilatory sulfate reduction I,SO4ASSIM-PWY
151,151,S000001926,sulfate assimilation pathway,PWY-781
152,152,S000001926,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),PWY-821-1
153,153,S000006230,trehalose degradation,TREDEG-YEAST-PWY
154,154,S000002408,trehalose degradation,TREDEG-YEAST-PWY
155,155,S000000330,trehalose biosynthesis I,TRESYN-PWY
156,156,S000004993,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
157,157,S000005528,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
158,158,S000005593,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
159,159,S000000178,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
160,160,S000005313,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
