CHROM,length,cent1,cent2,visualization_order
chrI,230218,151465,151582,1
chrII,813184,238207,238323,2
chrIII,316620,114385,114501,3
chrIV,1531933,449711,449821,4
chrV,576874,151987,152104,5
chrVI,270161,148510,148627,6
chrVII,1090940,496920,497038,7
chrVIII,562643,105586,105703,8
chrIX,439888,355629,355745,9
chrX,745751,436307,436425,10
chrXI,666816,440129,440246,11
chrXII,1078177,150828,150947,12
chrXIII,924431,268031,268149,13
chrXIV,784333,628758,628875,14
chrXV,1091291,326584,326702,15
chrXVI,948066,555957,556073,16
chrM,85779,NA,NA,17
