Database,UniparcID,Description,Start,End
Pfam,UPI000013A096,Flocculin,683,720
Pfam,UPI000013A096,Flocculin type 3 repeat,1143,1184
Pfam,UPI000013A096,PA14 domain,114,248
Pfam,UPI000158F16F,ML-like domain,38,177
Pfam,UPI000158F16F,"TRP, C-terminal",183,628
Pfam,UPI0000052EC0,"Alcohol dehydrogenase-like, N-terminal",26,162
Pfam,UPI0000052EC0,"Alcohol dehydrogenase-like, C-terminal",200,332
Pfam,UPI000013A050,BolA protein,46,108
Pfam,UPI000177A2AD,,89,109
Pfam,UPI000177A2AD,,38,66
Pfam,UPI0000052E60,,480,663
Pfam,UPI0000052E60,"Cdc24/Scd1, N-terminal",156,242
Pfam,UPI0000052E60,Dbl homology domain,282,452
Pfam,UPI000005324D,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme",10,390
Pfam,UPI000013A020,High pH protein family,86,278
Pfam,UPI00001682A7,Flocculin,322,360
Pfam,UPI00001682A7,PA14 domain,112,248
Pfam,UPI00001682A2,"Acetyl-coenzyme A synthetase, N-terminal domain",76,137
Pfam,UPI00001682A2,AMP-dependent synthetase/ligase domain,139,527
Pfam,UPI00001682A2,"AMP-binding enzyme, C-terminal domain",590,675
Pfam,UPI000013A0EB,Yeast membrane protein DUP/COS,1,38
Pfam,UPI000158F547,Sds3-like,182,401
Pfam,UPI0001F7BD22,SH3 domain,266,312
Pfam,UPI000034E95C,Yeast membrane protein DUP/COS,23,118
Pfam,UPI000012AD45,Equilibrative nucleoside transporter,181,510
Pfam,UPI0000053252,"Endoplasmic reticulum vesicle transporter, N-terminal",7,95
Pfam,UPI0000053252,"Endoplasmic reticulum vesicle transporter, C-terminal",143,399
Pfam,UPI0000254505,Ribosome biogenesis protein Alb1,31,152
Pfam,UPI000013A056,Dienelactone hydrolase,30,243
Pfam,UPI00001272BA,Holocytochrome c/c1 synthase,1,253
Pfam,UPI0000127564,"Cyclin, N-terminal",85,205
Pfam,UPI000158F263,Glycine cleavage system H-protein/Simiate,46,168
Pfam,UPI0000052F11,GOLD domain,33,207
Pfam,UPI000004F8CA,"Nuclear-export cofactor Arc1-like, N-terminal domain",6,43
Pfam,UPI000004F8CA,"Elongation factor 1 beta central acidic region, eukaryote",83,110
Pfam,UPI000004F8CA,"Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain",123,206
Pfam,UPI00001682A3,BolA protein,34,104
Pfam,UPI0000036C1E,CBS domain,123,170
Pfam,UPI0000036C1E,IMP dehydrogenase/GMP reductase,36,373
Pfam,UPI0000052F10,GOLD domain,22,213
Pfam,UPI000011038E,"Pyruvate kinase, C-terminal",380,497
Pfam,UPI000011038E,"Pyruvate kinase, barrel",19,345
Pfam,UPI000158F711,Protein kinase domain,25,272
Pfam,UPI0000052E3F,Elongation factor Tu-type domain,874,964
Pfam,UPI0000052E3F,"Translation initiation factor IF- 2, domain 3",746,843
Pfam,UPI0000052E3F,Translational (tr)-type GTP-binding domain,406,617
Pfam,UPI00001D475D,SWIRM domain,331,404
Pfam,UPI0000139FF2,FUN14,107,191
Pfam,UPI0001F7BD26,,632,731
Pfam,UPI0001F7BD26,"P-type ATPase, N-terminal",185,251
Pfam,UPI0001F7BD26,"P-type ATPase, C-terminal",980,1232
Pfam,UPI0000052DF2,Endonuclease/exonuclease/phosphatase,508,818
Pfam,UPI0000052DF2,Leucine-rich repeat,359,406
Pfam,UPI000012930B,"Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal",185,454
Pfam,UPI000012930B,"Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, dimerisation domain",40,167
Pfam,UPI0000052FCA,Single-strand annealing weakened protein 1,1,243
Pfam,UPI000013A054,"Mitochondrial Rho GTPase 1/3, EF hand associated, type-1",369,436
Pfam,UPI000013A054,Small GTPase,452,608
Pfam,UPI000013A054,"EF hand associated, type-2",267,331
Pfam,UPI0000403EE0,"Alcohol dehydrogenase-like, C-terminal",200,330
Pfam,UPI0000403EE0,"Alcohol dehydrogenase-like, N-terminal",26,162
Pfam,UPI000005311D,Protein kinase domain,25,340
Pfam,UPI0000052FEC,Dilute domain,1299,1399
Pfam,UPI0000052FEC,"IQ motif, EF-hand binding site",901,919
Pfam,UPI0000052FEC,"Myosin head, motor domain-like",73,765
Pfam,UPI000042B472,"Mto1-like, Mto2p-binding domain",574,614
Pfam,UPI0000135B22,"v-SNARE, coiled-coil homology domain",26,111
Pfam,UPI0000126E86,Calreticulin/calnexin,33,413
Pfam,UPI000005318D,"GTP binding protein, second domain",187,293
Pfam,UPI000005318D,TGS,294,368
Pfam,UPI000005318D,GTP binding domain,68,183
Pfam,UPI0000052E74,Sporulation-specific protein Spo7,45,249
Pfam,UPI0000052EBB,"SNF2, N-terminal",575,878
Pfam,UPI0000052EBB,"Helicase, C-terminal domain-like",950,1063
Pfam,UPI0000135747,"tRNA intron endonuclease, catalytic domain-like",183,261
Pfam,UPI000013A0EA,Yeast membrane protein DUP/COS,76,166
Pfam,UPI0000130584,Helix-hairpin-helix motif,223,247
Pfam,UPI0000130584,HhH-GPD domain,149,296
Pfam,UPI00000531C2,Ras guanine-nucleotide exchange factors catalytic domain,1198,1387
Pfam,UPI00000531C2,"Ras-like guanine nucleotide exchange factor, N-terminal",29,133
Pfam,UPI000012EDFB,Mitochondrial distribution and morphology protein 10,1,493
Pfam,UPI000158F447,Ribosomal eL28/Mak16,5,117
Pfam,UPI000158F447,Mak16 protein,138,235
Pfam,UPI0000131364,Stress-induced protein SRP1/TIP1,24,55
Pfam,UPI00001682A4,"SAICAR synthetase/ADE2, N-terminal",15,274
Pfam,UPI0000131F39,RNase P subunit Pop5/Rpp14/Rnp2-like,7,130
Pfam,UPI000013A101,Yeast membrane protein DUP/COS,80,171
Pfam,UPI0000135857,Major facilitator superfamily,144,507
Pfam,UPI00000005FB,Stress-induced protein SRP1/TIP1,22,114
Pfam,UPI0000131FD1,"Histidine phosphatase superfamily, clade-2",65,399
Pfam,UPI000012F885,Centromere protein Mis12,10,245
Pfam,UPI000000D54A,Glycosyl transferase family 39/83,69,312
Pfam,UPI000000D54A,"Protein O-mannosyl-transferase, C-terminal four TM domain",548,751
Pfam,UPI000000D54A,MIR motif,360,520
Pfam,UPI00000531BD,HEAT repeat,400,425
Pfam,UPI00000531BD,"Phosphatase PP2A regulatory subunit A/Splicing factor 3B subunit 1-like, HEAT repeat",318,388
Pfam,UPI000013A108,Yeast membrane protein DUP/COS,141,232
Pfam,UPI000013A073,Peroxisome assembly protein 22,52,167
Pfam,UPI0001F7BD1F,Zn(2)Cys(6) fungal-type DNA-binding domain,65,100
Pfam,UPI0001F7BD25,Protein kinase domain,1097,1354
Pfam,UPI00000531F1,"SKI-interacting protein SKIP, SNW domain",107,250
Pfam,UPI0000168E53,Heat shock protein 70 family,4,607
Pfam,UPI0000052F96,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type",197,268
Pfam,UPI0000052F96,"Replication factor A, C-terminal",466,611
Pfam,UPI0000052F96,"Replication protein A, OB domain",305,400
Pfam,UPI0000052DDD,"Symplekin/Pta1, N-terminal",91,333
Pfam,UPI00001682A1,PA14 domain,1,108
Pfam,UPI000006BDA8,Ty transposon capsid protein,17,400
Pfam,UPI00001D475E,,68,178
Pfam,UPI00015B3D40,"Glutamate dehydrogenase, NAD-specific",2,213
Pfam,UPI0000052FF1,WD40 repeat,67,100
Pfam,UPI00001967B7,Ankyrin repeat,197,227
Pfam,UPI00001967B7,Pleckstrin homology domain,283,379
Pfam,UPI00001967B7,Ankyrin repeat,85,117
Pfam,UPI00001967B7,Oxysterol-binding protein,800,1177
Pfam,UPI0000052E26,"Transcription factor tau subunit sfc3/Tfc3, C-terminal",736,1114
Pfam,UPI0000052E26,"Transcription factor tau 138 kDa subunit, extended winged helix",549,639
Pfam,UPI0000052E26,B-block binding subunit of TFIIIC,108,175
Pfam,UPI000013A0E8,Yeast membrane protein DUP/COS,77,168
Pfam,UPI0000237E52,,84,376
Pfam,UPI0000237E52,,1197,1253
Pfam,UPI0000237E52,"Vacuolar protein sorting-associated protein 8, central domain",538,735
Pfam,UPI0000237E52,,1097,1182
Pfam,UPI00001682B4,"Acetyl-CoA hydrolase/transferase, N-terminal",12,230
Pfam,UPI00001682B4,"Acetyl-CoA hydrolase/transferase, C-terminal domain",331,481
Pfam,UPI00001682A6,Choline/carnitine acyltransferase domain,7,636
Pfam,UPI000013B155,PA14 domain,1,109
Pfam,UPI000013B155,Flocculin,138,171
Pfam,UPI0000125588,"Alcohol dehydrogenase-like, C-terminal",185,313
Pfam,UPI0000125588,"Alcohol dehydrogenase-like, N-terminal",33,144
Pfam,UPI000005318F,mRNA (guanine-N(7))-methyltransferase domain,110,424
Pfam,UPI000013A21C,,73,122
Pfam,UPI000012DC5A,Protein kinase domain,73,316
Pfam,UPI000006B996,IMP dehydrogenase/GMP reductase,8,145
Pfam,UPI0000125620,Mitochondrial substrate/solute carrier,9,106
Pfam,UPI0000053112,"AAR2, C-terminal domain",179,303
Pfam,UPI0000053112,"AAR2, N-terminal",6,129
Pfam,UPI000005326C,Inner kinetochore subunit AME1,112,318
Pfam,UPI0000125C3F,Peptidase M28,295,495
Pfam,UPI0000125C3F,PA domain,177,268
Pfam,UPI00000530AC,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",39,648
Pfam,UPI00000531DA,WD40 repeat,153,180
Pfam,UPI0000048D4E,NADP-dependent oxidoreductase domain,36,311
Pfam,UPI000011269E,"Small GTPase superfamily, ARF/SAR type",5,177
Pfam,UPI000004F8DC,"Peptidase S10, serine carboxypeptidase",90,494
Pfam,UPI00001261AB,"Alcohol dehydrogenase-like, N-terminal",76,135
Pfam,UPI00001261AB,,293,423
Pfam,UPI0000111B42,DAHP synthetase I/KDSA,55,354
Pfam,UPI0000036C22,Autophagy protein Atg8 ubiquitin-like,13,116
Pfam,UPI0001F7BD32,Amino acid permease/ SLC12A domain,99,562
Pfam,UPI00001688DB,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",186,409
Pfam,UPI00001688DB,"ATP synthase, alpha subunit, C-terminal",416,541
Pfam,UPI00001688DB,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain",64,129
Pfam,UPI0000052F50,SH3 domain,161,209
Pfam,UPI0000052F50,Phox homology,308,397
Pfam,UPI000006AADF,"Integrase, catalytic core",104,204
Pfam,UPI000006AADF,"Reverse transcriptase, RNA-dependent DNA polymerase",722,900
Pfam,UPI0001F7BD38,S-adenosylmethionine-dependent methyltransferase Bmt2-like,126,335
Pfam,UPI0000069FCB,Protein of unknown function DUF468,1,84
Pfam,UPI000004F8D0,Sterile alpha motif domain,226,290
Pfam,UPI000004F8D0,SH3 domain,19,69
Pfam,UPI000004F8D0,Pleckstrin homology domain,779,893
Pfam,UPI0000052F53,Protein kinase domain,8,295
Pfam,UPI0000127836,Protein kinase domain,18,281
Pfam,UPI0000127918,,629,1151
Pfam,UPI0000127918,Chitin synthase 4-like domain,362,439
Pfam,UPI00000001D7,EF-hand domain,83,145
Pfam,UPI00001682B1,Cytochrome c oxidase biogenesis protein Cmc1-like,1,68
Pfam,UPI0000137A42,"Peptidase M16, N-terminal",37,181
Pfam,UPI0000137A42,"Peptidase M16, C-terminal",190,370
Pfam,UPI00003584E4,,1,66
Pfam,UPI00001256F8,Amino acid permease/ SLC12A domain,92,563
Pfam,UPI00001682BC,Mannosyl phosphorylinositol ceramide synthase regulatory protein Csg2,1,403
Pfam,UPI000004F952,Yeast membrane protein DUP/COS,256,351
Pfam,UPI0001F7BD31,Altered inheritance of mitochondria protein 3,8,98
Pfam,UPI0000125835,"Glycosyl transferase, family 1",256,427
Pfam,UPI00001682C9,Mitochondrial substrate/solute carrier,212,296
