Database,UniparcID,Description,Start,End
PROSITE,UPI000013A096,PA14/GLEYA domain,74,249
PROSITE,UPI0000052EC0,"Alcohol dehydrogenase, zinc-type, conserved site",72,86
PROSITE,UPI000177A2AD,"Regulator of chromosome condensation, RCC1",41,51
PROSITE,UPI000177A2AD,"Regulator of chromosome condensation, RCC1",240,279
PROSITE,UPI0000052E60,PB1-like domain,761,854
PROSITE,UPI0000052E60,Pleckstrin homology domain,478,668
PROSITE,UPI0000052E60,Dbl homology domain,278,454
PROSITE,UPI0000052E60,"Guanine-nucleotide dissociation stimulator, CDC24, conserved site",403,428
PROSITE,UPI0000052E60,Calponin homology domain,135,246
PROSITE,UPI000005324D,"Cys/Met metabolism enzyme, pyridoxal-phosphate attachment site",196,210
PROSITE,UPI00001682A7,PA14/GLEYA domain,74,249
PROSITE,UPI00001682A2,"AMP-binding, conserved site",317,328
PROSITE,UPI0001F7BD22,SH3 domain,259,320
PROSITE,UPI00001272BA,Holocytochrome c/c1 synthase,189,195
PROSITE,UPI00001272BA,Holocytochrome c/c1 synthase,128,143
PROSITE,UPI0000127564,"Cyclins, cyclin-box",108,139
PROSITE,UPI0000127564,,1,35
PROSITE,UPI000158F263,"2-oxo acid dehydrogenase, lipoyl-binding site",86,115
PROSITE,UPI000158F263,Biotin/lipoyl attachment,61,143
PROSITE,UPI0000052F11,GOLD domain,41,123
PROSITE,UPI000004F8CA,"Translation elongation factor EF1B, beta/delta chains, conserved site",195,206
PROSITE,UPI000004F8CA,"Translation elongation factor EF1B, beta/delta chains, conserved site",77,85
PROSITE,UPI0000036C1E,CBS domain,184,240
PROSITE,UPI0000036C1E,"IMP dehydrogenase / GMP reductase, conserved site",325,337
PROSITE,UPI0000052F10,GOLD domain,32,131
PROSITE,UPI000011038E,"Pyruvate kinase, active site",235,247
PROSITE,UPI000158F711,"Serine/threonine-protein kinase, active site",142,154
PROSITE,UPI000158F711,Protein kinase domain,25,272
PROSITE,UPI000158F711,"Protein kinase, ATP binding site",31,54
PROSITE,UPI0000052E3F,Translational (tr)-type GTP-binding domain,403,621
PROSITE,UPI00001D475D,SWIRM domain,316,413
PROSITE,UPI0001F7BD26,"P-type ATPase, phosphorylation site",560,566
PROSITE,UPI0000052DF2,Leucine-rich repeat,381,402
PROSITE,UPI000012930B,Leu/Phe/Val dehydrogenases active site,105,118
PROSITE,UPI000013A054,,444,647
PROSITE,UPI000013A054,EF-hand domain,330,365
PROSITE,UPI000013A054,MIRO domain,446,611
PROSITE,UPI0000403EE0,"Alcohol dehydrogenase, zinc-type, conserved site",72,86
PROSITE,UPI000005311D,"Serine/threonine-protein kinase, active site",170,182
PROSITE,UPI000005311D,"Protein kinase, ATP binding site",31,54
PROSITE,UPI000005311D,Protein kinase domain,25,343
PROSITE,UPI0000052FEC,"Myosin head, motor domain-like",71,777
PROSITE,UPI0000052FEC,"Myosin, N-terminal, SH3-like",4,57
PROSITE,UPI0000052FEC,,876,903
PROSITE,UPI0000052FEC,,899,928
PROSITE,UPI0000052FEC,Dilute domain,1164,1419
PROSITE,UPI0000135B22,"v-SNARE, coiled-coil homology domain",28,88
PROSITE,UPI0000135B22,Synaptobrevin-like,46,65
PROSITE,UPI0000126E86,"Calreticulin/calnexin, conserved site",118,133
PROSITE,UPI0000126E86,"Calreticulin/calnexin, conserved site",154,162
PROSITE,UPI000005318D,"GTP1/OBG, conserved site",118,131
PROSITE,UPI000005318D,OBG-type guanine nucleotide-binding (G) domain,66,292
PROSITE,UPI000005318D,TGS,292,368
PROSITE,UPI0000052EBB,"Helicase superfamily 1/2, ATP-binding domain",584,752
PROSITE,UPI0000052EBB,"Helicase, C-terminal domain-like",953,1108
PROSITE,UPI0000130584,"Endonuclease III-like, conserved site-2",225,254
PROSITE,UPI00000531C2,"Ras guanine-nucleotide exchange factor, conserved site",1356,1386
