GENE,SGDID,CHROM,START,END
15S_RRNA,YNCQ0002W,chrM,6546,8194
21S_RRNA,YNCQ0006W,chrM,58009,62447
21S_RRNA_4,21S_rRNA_4,chrM,61868,62447
9S_RRNA_1,9S_rRNA_1,chrM,1,11
9S_RRNA_5,9S_rRNA_5,chrM,85290,85779
AAC1,YMR056C,chrXIII,387315,388244
AAC3,YBR085W,chrII,415983,416906
AAD10,YJR155W,chrX,727405,728271
AAD14,YNL331C,chrXIV,16118,17248
AAD15,YOL165C,chrXV,1647,2078
AAD16,YFL057C,chrVI,14305,14763
AAD3,YCR107W,chrIII,313890,314981
AAD4,YDL243C,chrIV,17577,18566
AAD6,YFL056C,chrVI,14305,15431
AAH1,YNL141W,chrXIV,359596,360639
AAN1,YKL075C,chrXI,292956,294308
AAP1,YHR047C,chrVIII,198740,201310
AAR2,YBL074C,chrII,86722,87789
AAT1,YKL106W,chrXI,237536,238891
AAT2,YLR027C,chrXII,196829,198085
ABD1,YBR236C,chrII,690383,691693
ABF1,YKL112W,chrXI,226570,228765
ABF2,YMR072W,chrXIII,411569,412120
ABM1,YJR108W,chrX,628712,629083
ABP1,YCR088W,chrIII,265068,266846
ABP140,YOR239W,chrXV,784857,786744
ABZ1,YNR033W,chrXIV,687635,689998
ABZ2,YMR289W,chrXIII,848685,849809
ACA1,YER045C,chrV,240032,241501
ACB1,YGR037C,chrVII,559731,559994
ACC1,YNR016C,chrXIV,654673,661374
ACE2,YLR131C,chrXII,404510,406822
ACF2,YLR144C,chrXII,429677,432016
ACF4,YJR083C,chrX,582608,583537
ACH1,YBL015W,chrII,194122,195702
ACK1,YDL203C,chrIV,96082,97953
ACL4,YDR161W,chrIV,779043,780206
ACM1,YPL267W,chrXVI,38169,38798
ACO1,YLR304C,chrXII,735212,737548
ACO2,YJL200C,chrX,56444,58813
ACP1,YKL192C,chrXI,80160,80537
ACS1,YAL054C,chrI,42881,45022
ACS2,YLR153C,chrXII,445524,447575
ACT1,YFL039C,chrVI,53260,54696
ADA2,YDR448W,chrIV,1356065,1357369
ADD37,YMR184W,chrXIII,628189,628785
ADD66,YKL206C,chrXI,49006,49809
ADE1,YAR015W,chrI,169375,170295
ADE12,YNL220W,chrXIV,234413,235714
ADE13,YLR359W,chrXII,844282,845730
ADE16,YLR028C,chrXII,199540,201315
ADE17,YMR120C,chrXIII,507502,509280
ADE2,YOR128C,chrXV,564476,566191
ADE3,YGR204W,chrVII,905934,908774
ADE4,YMR300C,chrXIII,865559,867091
ADE57,YGL234W,chrVII,56482,58890
ADE6,YGR061C,chrVII,611889,615965
ADE8,YDR408C,chrIV,1288215,1288859
ADF1,YCL058W-A,chrIII,23584,23925
ADH1,YOL086C,chrXV,159548,160594
ADH2,YMR303C,chrXIII,873291,874337
ADH3,YMR083W,chrXIII,434788,435915
ADH4,YGL256W,chrVII,15159,16307
ADH5,YBR145W,chrII,533762,534817
ADH6,YMR318C,chrXIII,911061,912143
ADH7,YCR105W,chrIII,309070,310155
ADI1,YMR009W,chrXIII,284102,284641
ADK1,YDR226W,chrIV,916486,917154
ADK2,YER170W,chrV,525974,526651
ADO1,YJR105W,chrX,623581,624603
ADP1,YCR011C,chrIII,133724,136873
ADR1,YDR216W,chrIV,895035,899006
ADY2,YCR010C,chrIII,132273,133124
ADY3,YDL239C,chrIV,26403,28775
ADY4,YLR227C,chrXII,590562,592043
AEP1,YMR064W,chrXIII,397903,399459
AEP2,YMR282C,chrXIII,833356,835098
AEP3,YPL005W,chrXVI,548486,550306
AFB1,YLR040C,chrXII,228908,229582
AFG1,YEL052W,chrV,56571,58100
AFG2,YLR397C,chrXII,912550,914892
AFG3,YER017C,chrV,189503,191788
AFI1,YOR129C,chrXV,566877,569558
AFR1,YDR085C,chrIV,614288,616150
AFT1,YGL071W,chrVII,372012,374084
AFT2,YPL202C,chrXVI,168088,169338
AGA1,YNR044W,chrXIV,703699,705876
AGA2,YGL032C,chrVII,436570,436833
AGC1,YPR021C,chrXVI,600649,603357
AGE1,YDR524C,chrIV,1487542,1488990
