REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY
YAL054C,ACS1,S000000050,chrI,42881,45022,-1,713,Acetyl CoA Synthetase,Acetyl-coA synthetase isoform,"Cytosolic acetyl-CoA ligase with roles in acetyl-CoA synthesis, histone acetylation, and acetate fermentation; localizes to mitochondria in high-throughput studies"
YAR015W,ADE1,S000000070,chrI,169375,170295,1,306,ADEnine requiring,N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase,Phosphoribosylaminoimidazolesuccinocarboxamide synthase involved in the biosynthesis of purine nucleotides
YAL049C,AIM2,S000000047,chrI,51855,52595,-1,246,Altered Inheritance rate of Mitochondria,Cytoplasmic protein involved in mitochondrial function or organization,Protein whose biological role is unknown; localized to the cytoplasm
YAL020C,ATS1,S000000018,chrI,113614,114615,-1,333,Alpha Tubulin Suppressor,Protein required for modification of wobble nucleosides in tRNA,Cytoplasmic protein involved in tRNA wobble uridine modification
YAL060W,BDH1,S000000056,chrI,35155,36303,1,382,Butanediol DeHydrogenase,"NAD-dependent (R,R)-butanediol dehydrogenase",Cytoplasmic butanediol dehydrogenase involved in butanediol biosynthesis and alcohol metabolism
YAL061W,BDH2,S000000057,chrI,33448,34701,1,417,,Putative medium-chain alcohol dehydrogenase with similarity to BDH1,Putative oxidoreductase that localizes to both the nucleus and cytoplasm
YAL044W-A,BOL1,S000007586,chrI,57518,57850,1,110,BolA-like protein,Mitochondrial matrix protein involved in Fe-S cluster biogenesis,Mitochondrial matrix protein involved in assembly and/or transfer of [4Fe-4S] clusters from the ISA complex to client proteins
YAL046C,BOL3,S000000044,chrI,57029,57385,-1,118,BolA-like protein,Protein involved in Fe-S cluster transfer to mitochondrial clients,Mitochondrial matrix protein involved in transferring [4Fe-4S] clusters from the ISA complex to client proteins
YAR014C,BUD14,S000000069,chrI,166742,168871,-1,709,BUD site selection,Protein involved in bud-site selection,"Protein phosphatase regulator involved in cytoskeleton organization, regulation of cytokinesis and vesicle-mediated transport, and transcription regulation; localizes to nucleus, cytoplasm, bud neck, bud tip, and incipient bud site; subunit of KFRC complex"
YAL021C,CCR4,S000000019,chrI,110846,113359,-1,837,Carbon Catabolite Repression,Component of the CCR4-NOT transcriptional complex,"3'-5'-exoribonuclease subunit of the core CCR4-NOT complex; involved in deadenylation-dependent mRNA decay, nuclear-transcribed mRNA poly(A) tail shortening, replication fork protection, DNA replication, and regulation of transcription and transcription elongation; also involved in the DNA replication checkpoint and traversing the start control point of the mitotic cell cycle; colocalizes with the Cdc73/Paf1 complex and localizes to the cytoplasm and cytoplasmic mRNA processing body"
YAR019C,CDC15,S000000072,chrI,172211,175135,-1,974,Cell Division Cycle,Hippo-like kinase of the Mitotic Exit Network,"Protein kinase involved in mitotic exit, cytokinesis and meiotic spindle disassembly; localizes to the bud neck, cytoplasm and spindle pole body"
YAL038W,CDC19,S000000036,chrI,71786,73288,1,500,Cell Division Cycle,Pyruvate kinase,"Pyruvate kinase that catalyzes the final step in glycolysis, the conversion of phosphoenolpyruvate to pyruvate, which is then utilized in anaerobic or aerobic respiration; localized to the cytoplasm"
YAL041W,CDC24,S000000039,chrI,62840,65404,1,854,Cell Division Cycle,Guanine nucleotide exchange factor (GEF) for Cdc42p,"Rho guanine nucleotide exchange factor for Cdc42p; involved in cellular bud site selection, septin ring organization, and regulation of mitotic exit; localizes to the nucleus, cytoplasm, incipient bud sites, and sites of polarized growth"
YAL040C,CLN3,S000000038,chrI,65778,67520,-1,580,CycLiN,G1 cyclin involved in cell cycle progression,Cyclin-dependent protein kinase (CDK) regulatory subunit; regulates cell cycle passage through START by regulating transcription at the G1/S phase transcription; regulates non-autophagic vacuole fusion; localizes to the nucleus
YAL058W,CNE1,S000000054,chrI,37464,38972,1,502,CalNExin and calreticulin homolog,Calnexin,Unfolded protein-binding protein involved in protein folding and ER-associated ubiquitin-dependent protein breakdown; localizes to endoplasmic reticulum membrane
YAL039C,CYC3,S000000037,chrI,68716,69525,-1,269,CYtochrome C,Cytochrome c heme lyase (holocytochrome c synthase),Holocytochrome c synthase involved in cytochrome c-heme linkage; localizes to mitochondrial intermembrane space
YAL012W,CYS3,S000000010,chrI,130799,131983,1,394,CYStathionine gamma-lyase,Cystathionine gamma-lyase,Cystathionine gamma-lyase involved in transsulfuration and cysteine biosynthesis; localizes to both the nucleus and cytoplasm
YAL013W,DEP1,S000000011,chrI,129270,130487,1,405,Disability in regulation of Expression of genes involved in Phospholipid biosynthesis,Component of the Rpd3L histone deacetylase complex,"Subunit of Rpd3L histone deacetylase complex involved in transcription regulation, heterochromatin assembly at both rDNA and the silent mating locus, and telomeric silencing"
YAR023C,DFP1,S000000074,chrI,179281,179820,-1,179,DUP240 Family Protein,Putative integral membrane protein,Protein whose biological role and cellular location are unknown
YAR029W,DFP2,S000000077,chrI,186321,186545,1,74,DUP240 Family Protein,Member of DUP240 gene family but contains no transmembrane domains,Protein whose biological role is unknown; localizes to the cytoplasm
YAL026C,DRS2,S000000024,chrI,95630,99697,-1,1355,Deficiency of Ribosomal Subunits,Trans-golgi network aminophospholipid translocase (flippase),"Subunit of the Cdc50p-Drs2p phospolipid flippase complex; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; localizes to the trans-Golgi network"
YAL059W,ECM1,S000000055,chrI,36509,37147,1,212,ExtraCellular Mutant,Pre-ribosomal factor involved in 60S ribosomal protein subunit export,Subunit of preribosome involved in nuclear export of large ribosomal subunit; localizes to nucleolus
YAL003W,EFB1,S000000003,chrI,142174,143160,1,206,Elongation Factor Beta,Translation elongation factor 1 beta,"Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2"
YAR002C-A,ERP1,S000002129,chrI,154065,154724,-1,219,Emp24p/Erv25p Related Protein,Member of the p24 family involved in ER to Golgi transport,COPII vesicle protein involved in endoplasmic reticulum (ER)-to-Golgi vesicle-mediated transport and protein retention in ER lumen; also localizes to mitochondria
YAL007C,ERP2,S000000005,chrI,137698,138345,-1,215,Emp24p/Erv25p Related Protein,Member of the p24 family involved in ER to Golgi transport,Component of the COP II vesicle that is involved in ER to Golgi vesicle mediated transport of Gas1p and retention of Kar2 (BIP) in the ER
YAL042W,ERV46,S000000040,chrI,61316,62563,1,415,ER Vesicle,Protein localized to COPII-coated vesicles,COPII-coated vesicle subunit involved in endoplasmic reticulum to Golgi vesicle-mediated transport; integral to Golgi and endoplasmic reticulum membranes
YAL053W,FLC2,S000000049,chrI,45899,48250,1,783,FLavin Carrier,Putative calcium channel involved in calcium release under hypotonic s,"FAD transmembrane transporter involved in hypotonic response, calcium homeostasis, sphingolipid biosynthesis, and cell wall formation; localizes to cytoplasm and endoplasmic reticulum"
YAR050W,FLO1,S000000084,chrI,203403,208016,1,1537,FLOcculation,Lectin-like protein involved in flocculation,"Mannose-binding protein involved in flocculation via cell wall protein-carbohydrate interaction and co-flocculation with other yeasts; also involved in the cellular response to heat, hydrogen peroxide, and ethanol; localizes to the cell wall"
YAL063C,FLO9,S000000059,chrI,24000,27968,-1,1322,FLOcculation,Lectin-like protein with similarity to Flo1p,Putative mannose-binding protein of the cell wall involved in flocculation and cell-surface adhesion
YAL028W,FRT2,S000000026,chrI,92900,94486,1,528,Functionally Related to TCP1,Tail-anchored ER membrane protein of unknown function,Endoplasmic reticulum protein involved in responses to basic pH and salt stress
YAL035W,FUN12,S000000033,chrI,76427,79435,1,1002,Function Unknown Now,Translation initiation factor eIF5B,Protein and ribosome binding GTPase involved in the formation of the cytoplasmic translation initiation complex and maturation of SSU-rRNA; involved in regulation of translational initiation; localizes to the cytosolic small ribosomal subunit and eukaryotic 48S pre initiation complex
YAL008W,FUN14,S000000006,chrI,136914,137510,1,198,Function Unknown Now,Integral mitochondrial outer membrane (MOM) protein,Integral component of the mitochondrial outer membrane involved in mitochondrial organization and phopholipid homeostasis
YAL034C,FUN19,S000002134,chrI,80710,81951,-1,413,Function Unknown Now,Non-essential protein of unknown function,Protein whose biological role and cellular location are unknown
YAL022C,FUN26,S000000020,chrI,108877,110430,-1,517,Function Unknown Now,"High affinity, broad selectivity, nucleoside/nucleobase transporter",Nicotinamide riboside transmembrane transporter; localizes to the vacuole membrane
YAL019W,FUN30,S000000017,chrI,114919,118314,1,1131,Function Unknown Now,Snf2p family member with ATP-dependent chromatin remodeling activity,"DNA-dependent ATPase that binds chromatin; involved in DNA double-strand break processing and heterochromatin maintenence by chromatin silencing at telomere, silent mating-type cassette, rDNA; localizes to centromeric regions of chromosomes"
YAL044C,GCV3,S000000042,chrI,57950,58462,-1,170,GlyCine cleaVage,H subunit of the mitochondrial glycine decarboxylase complex,Subunit of mitochondrial glycine dehydrogenase complex involved in protein lipoylation and one-carbon metabolism
YAL062W,GDH3,S000000058,chrI,31567,32940,1,457,Glutamate DeHydrogenase,NADP(+)-dependent glutamate dehydrogenase,Glutamate dehydrogenase involved in glutamate biosynthesis; localizes to both nucleus and mitochondria
YAL048C,GEM1,S000000046,chrI,52801,54789,-1,662,GTPase EF-hand protein of Mitochondria,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex","Calcium-binding GTPase subunit of ERMES complex; involved in phospholipid homeostasis, mitochondrion-endoplasmic reticulum membrane tethering, mitochondrial organization and inheritance, and heme transport; localizes to outer mitochondrial membrane"
YAL031C,GIP4,S000000029,chrI,84749,87031,-1,760,Glc7 Interacting Protein,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p,Cytoplasmic protein phosphatase 1 regulator involved in chromosome segregation
YAL056W,GPB2,S000000052,chrI,39259,41901,1,880,,Multistep regulator of cAMP-PKA signaling,"GAP-binding cAMP-dependent protein kinase inhibitor involved in glucose signaling, downregulation of Ras protein signal transduction, pseudohyphal growth, and ascospore formation; localizes to plasma membrane, cytoplasm, and mitochondria"
YAR073W,IMD1,S000000095,chrI,227742,228953,1,403,IMP Dehydrogenase,Nonfunctional protein with homology to IMP dehydrogenase,Non-functional IMP dehydrogenase
YAR018C,KIN3,S000000071,chrI,170396,171703,-1,435,protein KINase,Nonessential serine/threonine protein kinase,Protein kinase involved in chromosome segregation
YAR028W,KTD1,S000000076,chrI,184892,185596,1,234,Killer Toxin Defens,Killer toxin defense factor,Protein whose biological role is unknown; localized to the vacuole membrane in large scale studies
YAL018C,LDS1,S000000016,chrI,118564,119541,-1,325,Lipid Droplets in Sporulation,Protein Involved in spore wall assembly,"Protein involved in ascospore wall assembly; localizes to lipid droplets, prospore membrane, and ascospore wall"
YAL024C,LTE1,S000000022,chrI,101565,105872,-1,1435,Low Temperature Essential,Protein similar to GDP/GTP exchange factors,"Putative guanyl-nucleotide exchange factor based on sequence similarity but without detectable activity; involved in vesicle-mediated transport, spindle orientation and mitotic exit; localizes to the bud"
YAL025C,MAK16,S000000023,chrI,100225,101145,-1,306,MAintenance of Killer,Essential nuclear protein,Nucleolar protein involved in rRNA maturation and large ribosomal subunit biogenesis; localizes to large subunit precursor of preribosome
YAL010C,MDM10,S000000008,chrI,134184,135665,-1,493,Mitochondrial Distribution and Morphology,Subunit of both the ERMES and the SAM complex,"Protein with a role in mitochondrion organization, localization, tethering to the endoplasmic reticulum (ER), and assembly of mitochondrial outer membrane translocase complex with Tom22p; found in ERMES and mitochondrial sorting and assembly machinery complexes"
YAR033W,MST28,S000000079,chrI,188107,188811,1,234,Multicopy suppressor of Sec Twenty one,"Putative integral membrane protein, involved in vesicle formation",Membrane protein involved in vesicle organization; localizes to endoplasmic reticulum and Golgi apparatus
YAL034W-A,MTW1,S000000032,chrI,79718,80587,1,289,Mis TWelve-like,Essential component of the MIND kinetochore complex,Subunit of nuclear MIND complex involved in chromosome segregation; helps recruit outer kinetochore subunits that will bind to microtubules; localizes to spindle pole
YAL029C,MYO4,S000000027,chrI,87855,92270,-1,1471,MYOsin,Type V myosin motor involved in actin-based transport of cargos,"Actin filament-binding microfilament motor involved in mRNA localization, endoplasmic reticulum inheritance, and mating type switching; localizes to bud tip and mitochondrion"
YAL015C,NTG1,S000000013,chrI,126903,128102,-1,399,eNdonuclease Three-like Glycosylase,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase,"Oxidized nucleobase lesion DNA N-glycosylase and endonuclease involved in base-excision repair, upregulation of mitochondrial DNA replication, and oxidative stress response; localizes to nucleus and mitochondrion"
YAR002W,NUP60,S000000063,chrI,152257,153876,1,539,NUclear Pore,FG-nucleoporin component of central core of the nuclear pore complex,"Phospholipid-binding protein of the nuclear pore; involved in tethering of genes and telomeres to nuclear periphery, and export of mRNAs and protein out of the nucleus; part of nuclear basket and central transport channel of nuclear pore"
YAL051W,OAF1,S000000048,chrI,48564,51707,1,1047,Oleate-Activated transcription Factor,Oleate-activated transcription factor,"Subunit of the heterodimeric Pip2-Oaf1 complex, which binds to promoter proximal elements upstream of genes involved in peroxisomal proliferation, functioning as a transcriptional activator in the presence of oleate; regulates chromatin silencing at telomeres"
YAR020C,PAU7,S000000073,chrI,176856,177023,-1,55,seriPAUperin family,Member of the seripauperin multigene family,Protein whose biological role and cellular location are unknown
YAL068C,PAU8,S000002142,chrI,1807,2169,-1,120,seriPAUperin,Protein of unknown function,Protein of unknown function involved in transcription regulation and ascospore formation
YAL055W,PEX22,S000000051,chrI,42177,42719,1,180,PEroXisome related,Putative peroxisomal membrane protein,"Protein that binds to Pex4p and activates its E2 ubiquitin-conjugating activity, promoting recycling of the peroxisomal import receptor Pex5p; also stimulates Pex4p and autoubiquitination activity; localized to the peroxisomal membrane"
YAR071W,PHO11,S000000094,chrI,225460,226863,1,467,PHOsphate metabolism,One of three repressible acid phosphatases,An acid phosphatase that dephosphorylates 1-naphthyl dihydrogen phosphate in the absence of potassium dihydrogen phosphate; involved in phosphate-containing compound metabolism in extracellular regions
YAL023C,PMT2,S000000021,chrI,106272,108551,-1,759,Protein O-MannosylTransferase,Protein O-mannosyltransferase of the ER membrane,"Dolichol phosphomannose-protein mannosyltransferase involved in protein export from endoplasmic reticulum (ER), protein O-linked glycosylation, ER-associated misfolded protein degradation, and regulation of the ER unfolded protein response"
YAL033W,POP5,S000000031,chrI,82706,83227,1,173,Processing Of Precursor RNAs,Subunit of both RNase MRP and nuclear RNase P,"RNA-binding protein subunit of both ribonuclease MRP complex and nucleolar ribonuclease P complex; involved in rRNA processing, tRNA processing, intronic box C/D snoRNA processing, and endonucleolytic cleavage-dependent mRNA decay"
YAR031W,PRM9,S000000078,chrI,186836,187732,1,298,Pheromone-Regulated Membrane protein,Pheromone-regulated protein,Protein whose biological role is unknown; localized to the endoplasmic reticulum and plasma membrane
YAL032C,PRP45,S000000030,chrI,83335,84474,-1,379,Pre-mRNA Processing,Protein required for pre-mRNA splicing,Spliceosome-associating protein essential to pre-messenger RNA (mRNA) splicing; contributes to formation of catalytic spliceosome for second transesterification step
YAL017W,PSK1,S000000015,chrI,120225,124295,1,1356,Pas domain-containing Serine/threonine protein Kinase,PAS domain-containing serine/threonine protein kinase,"Cytoplasmic protein serine/threonine kinase that regulates glycogen biosynthesis and 1,6-beta-glucan biosynthesis"
YAL043C,PTA1,S000000041,chrI,58695,61052,-1,785,Pre-Trna Accumulation,Subunit of holo-CPF,"Subunit of mRNA cleavage and polyadenylation specificity factor (CPF) complex that binds to canonical AAUAAA hexamer and to U-rich upstream sequence elements on pre-mRNA to stimulate transcription; also involved in pre-mRNA cleavage required for polyadenylation, poly(A) coupled transcription termination, and tRNA processing"
YAL036C,RBG1,S000000034,chrI,75043,76152,-1,369,RiBosome interacting Gtpase,Member of the DRG family of GTP-binding proteins,Cytoplasmic GTP-binding protein involved in translation and up-regulation of amino acid starvation response; localizes to polysomes and stress granules
YAR007C,RFA1,S000000065,chrI,156754,158619,-1,621,Replication Factor A,Subunit of heterotrimeric Replication Protein A (RPA),"DNA-binding protein involved in DNA replication, DNA repair, recombination, and telomere maintenance; localizes to nuclear chromosomes and telomeres"
YAL027W,SAW1,S000000025,chrI,94687,95472,1,261,Single-strand Annealing Weakened,5'- and 3'-flap DNA binding protein,Nuclear protein that binds 5' and 3' single-stranded ends in DNA; involved in double-strand break repair via single-strand annealing
YAR008W,SEN34,S000000066,chrI,158966,159793,1,275,Splicing ENdonuclease,Subunit of the tRNA splicing endonuclease,Splicing endonuclease subunit of tRNA-intron endonuclease complex involved in splice site recognition and cleavage; localizes to outer mitochondrial membrane
YAL067C,SEO1,S000000062,chrI,7235,9016,-1,593,Suppressor of sulfoxyde EthiOnine resistance,Putative permease,Putative transmembrane transporter based on sequence similarity to transmembrane transporter gene families; localizes to cell periphery
YAL030W,SNC1,S000000028,chrI,87286,87752,1,117,Suppressor of the Null allele of CAP,Vesicle membrane receptor protein (v-SNARE),"SNAP receptor involved in Golgi to plasma membrane transport, vesicle fusion, endocytosis, and exocytosis; localizes to the endosome, trans-Golgi network, transport vesicle membrane, plasma membrane, and bud neck"
