REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY,UniprotID,UniparcID
YAL054C,ACS1,S000000050,chrI,42881,45022,-1,713,Acetyl CoA Synthetase,Acetyl-coA synthetase isoform,"Cytosolic acetyl-CoA ligase with roles in acetyl-CoA synthesis, histone acetylation, and acetate fermentation; localizes to mitochondria in high-throughput studies",Q01574,UPI00001682A2
YAR015W,ADE1,S000000070,chrI,169375,170295,1,306,ADEnine requiring,N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase,Phosphoribosylaminoimidazolesuccinocarboxamide synthase involved in the biosynthesis of purine nucleotides,P27616,UPI00001682A4
YAL049C,AIM2,S000000047,chrI,51855,52595,-1,246,Altered Inheritance rate of Mitochondria,Cytoplasmic protein involved in mitochondrial function or organization,Protein whose biological role is unknown; localized to the cytoplasm,P39721,UPI000013A056
YAL020C,ATS1,S000000018,chrI,113614,114615,-1,333,Alpha Tubulin Suppressor,Protein required for modification of wobble nucleosides in tRNA,Cytoplasmic protein involved in tRNA wobble uridine modification,P31386,UPI000177A2AD
YAL060W,BDH1,S000000056,chrI,35155,36303,1,382,Butanediol DeHydrogenase,"NAD-dependent (R,R)-butanediol dehydrogenase",Cytoplasmic butanediol dehydrogenase involved in butanediol biosynthesis and alcohol metabolism,P39714,UPI0000403EE0
YAL061W,BDH2,S000000057,chrI,33448,34701,1,417,,Putative medium-chain alcohol dehydrogenase with similarity to BDH1,Putative oxidoreductase that localizes to both the nucleus and cytoplasm,P39713,UPI0000052EC0
YAL044W-A,BOL1,S000007586,chrI,57518,57850,1,110,BolA-like protein,Mitochondrial matrix protein involved in Fe-S cluster biogenesis,Mitochondrial matrix protein involved in assembly and/or transfer of [4Fe-4S] clusters from the ISA complex to client proteins,Q3E793,UPI00001682A3
YAL046C,BOL3,S000000044,chrI,57029,57385,-1,118,BolA-like protein,Protein involved in Fe-S cluster transfer to mitochondrial clients,Mitochondrial matrix protein involved in transferring [4Fe-4S] clusters from the ISA complex to client proteins,P39724,UPI000013A050
YAR014C,BUD14,S000000069,chrI,166742,168871,-1,709,BUD site selection,Protein involved in bud-site selection,"Protein phosphatase regulator involved in cytoskeleton organization, regulation of cytokinesis and vesicle-mediated transport, and transcription regulation; localizes to nucleus, cytoplasm, bud neck, bud tip, and incipient bud site; subunit of KFRC complex",P27637,UPI0001F7BD22
YAL021C,CCR4,S000000019,chrI,110846,113359,-1,837,Carbon Catabolite Repression,Component of the CCR4-NOT transcriptional complex,"3'-5'-exoribonuclease subunit of the core CCR4-NOT complex; involved in deadenylation-dependent mRNA decay, nuclear-transcribed mRNA poly(A) tail shortening, replication fork protection, DNA replication, and regulation of transcription and transcription elongation; also involved in the DNA replication checkpoint and traversing the start control point of the mitotic cell cycle; colocalizes with the Cdc73/Paf1 complex and localizes to the cytoplasm and cytoplasmic mRNA processing body",P31384,UPI0000052DF2
YAR019C,CDC15,S000000072,chrI,172211,175135,-1,974,Cell Division Cycle,Hippo-like kinase of the Mitotic Exit Network,"Protein kinase involved in mitotic exit, cytokinesis and meiotic spindle disassembly; localizes to the bud neck, cytoplasm and spindle pole body",P27636,UPI000158F711
YAL038W,CDC19,S000000036,chrI,71786,73288,1,500,Cell Division Cycle,Pyruvate kinase,"Pyruvate kinase that catalyzes the final step in glycolysis, the conversion of phosphoenolpyruvate to pyruvate, which is then utilized in anaerobic or aerobic respiration; localized to the cytoplasm",P00549,UPI000011038E
YAL041W,CDC24,S000000039,chrI,62840,65404,1,854,Cell Division Cycle,Guanine nucleotide exchange factor (GEF) for Cdc42p,"Rho guanine nucleotide exchange factor for Cdc42p; involved in cellular bud site selection, septin ring organization, and regulation of mitotic exit; localizes to the nucleus, cytoplasm, incipient bud sites, and sites of polarized growth",P11433,UPI0000052E60
YAL040C,CLN3,S000000038,chrI,65778,67520,-1,580,CycLiN,G1 cyclin involved in cell cycle progression,Cyclin-dependent protein kinase (CDK) regulatory subunit; regulates cell cycle passage through START by regulating transcription at the G1/S phase transcription; regulates non-autophagic vacuole fusion; localizes to the nucleus,P13365,UPI0000127564
YAL058W,CNE1,S000000054,chrI,37464,38972,1,502,CalNExin and calreticulin homolog,Calnexin,Unfolded protein-binding protein involved in protein folding and ER-associated ubiquitin-dependent protein breakdown; localizes to endoplasmic reticulum membrane,P27825,UPI0000126E86
YAL039C,CYC3,S000000037,chrI,68716,69525,-1,269,CYtochrome C,Cytochrome c heme lyase (holocytochrome c synthase),Holocytochrome c synthase involved in cytochrome c-heme linkage; localizes to mitochondrial intermembrane space,P06182,UPI00001272BA
YAL012W,CYS3,S000000010,chrI,130799,131983,1,394,CYStathionine gamma-lyase,Cystathionine gamma-lyase,Cystathionine gamma-lyase involved in transsulfuration and cysteine biosynthesis; localizes to both the nucleus and cytoplasm,P31373,UPI000005324D
YAL013W,DEP1,S000000011,chrI,129270,130487,1,405,Disability in regulation of Expression of genes involved in Phospholipid biosynthesis,Component of the Rpd3L histone deacetylase complex,"Subunit of Rpd3L histone deacetylase complex involved in transcription regulation, heterochromatin assembly at both rDNA and the silent mating locus, and telomeric silencing",P31385,UPI000158F547
